Environment,Genotype,Group,Geno.GY_control,Geno.GY_test,Trial.GY_control,Trial.GY_test,Cov_DSI,SD_blue,SD_weight,PH_blue,PH_weight,NDVI_blue,NDVI_weight,GR_blue,GR_weight,GY_blue,GY_weight,TKW_blue,TKW_weight,TW_blue,TW_weight
2022 THD,KSTdGD80.111,WIL,-0.1561,-0.634,0.8366,-0.0454,0.5418,0.715,2.9508,0.411,3.3647,NA,NA,NA,NA,-0.634,6.895,0.102,16.5576,-0.622,13.7009
2022 THD,KSTdGD80.113,WIL,-0.5378,-1.525,0.8366,-0.0454,1.1193,-1.709,3.0318,-1.003,3.4678,NA,NA,NA,NA,-1.525,6.9381,-0.722,16.7044,-0.545,13.945
2022 THD,KSTdGD80.114,WIL,-0.6652,-0.308,0.8366,-0.0454,-0.405,0.197,2.6984,-0.848,3.1833,NA,NA,NA,NA,-0.308,6.2604,-0.095,14.728,-0.299,11.6865
2022 THD,KSTdGD80.116,WIL,0.0984,-0.155,0.8366,-0.0454,0.2873,-1.305,2.5463,0.927,3.17,NA,NA,NA,NA,-0.155,5.9054,1.18,13.7713,-2.38,10.8831
2022 THD,KSTdGD80.118,WIL,-1.1686,0.043,0.8366,-0.0454,-1.3737,-0.369,3.0246,-0.996,3.4504,NA,NA,NA,NA,0.043,6.9589,1.567,16.7152,0.286,13.7094
2022 THD,KSTdGD80.119,WIL,1.3087,0.795,0.8366,-0.0454,0.5824,-0.3,2.702,-1.011,3.2033,NA,NA,NA,NA,0.795,6.2632,-0.208,14.8448,0.43,11.4981
2022 THD,KSTdGD80.12,WIL,-0.1448,-0.75,0.8366,-0.0454,0.6862,1.416,2.9725,-0.101,3.4164,NA,NA,NA,NA,-0.75,6.8931,0.563,16.5837,-0.516,13.7849
2022 THD,KSTdGD80.121,WIL,0.0142,-0.74,0.8366,-0.0454,0.8551,-0.491,2.9536,0.569,3.403,NA,NA,NA,NA,-0.74,6.8753,1.233,16.5268,0.317,13.7263
2022 THD,KSTdGD80.122,WIL,0.5013,1.071,0.8366,-0.0454,-0.6459,1.027,2.9928,0.921,3.4454,NA,NA,NA,NA,1.071,6.8547,-1.08,16.5532,0.504,13.5594
2022 THD,KSTdGD80.124,WIL,1.2995,-0.399,0.8366,-0.0454,1.9258,0.372,2.9531,1.808,3.4366,NA,NA,NA,NA,-0.399,6.8833,-0.506,16.4564,0.714,13.6072
2022 THD,KSTdGD80.125,WIL,0.6231,0.812,0.8366,-0.0454,-0.2142,0.485,3.0021,0.235,3.4255,NA,NA,NA,NA,0.812,6.9349,-0.573,16.7163,0.258,13.8826
2022 THD,KSTdGD80.126,WIL,-0.2662,-0.193,0.8366,-0.0454,-0.083,0.049,2.9594,0.056,3.4207,NA,NA,NA,NA,-0.193,6.9253,-0.574,16.6188,0.087,13.7824
2022 THD,KSTdGD80.127,WIL,0.7976,-0.022,0.8366,-0.0454,0.9293,0.749,2.9934,0.286,3.4568,NA,NA,NA,NA,-0.022,6.8947,0.177,16.5334,0.713,13.7534
2022 THD,KSTdGD80.128,WIL,0.6962,0.153,0.8366,-0.0454,0.6159,-0.393,2.9648,0.955,3.3837,NA,NA,NA,NA,0.153,6.8863,-0.928,16.431,-1.127,13.6047
2022 THD,KSTdGD80.129,WIL,1.2002,0.661,0.8366,-0.0454,0.6114,0.137,2.9313,1.52,3.4003,NA,NA,NA,NA,0.661,6.8205,0.748,16.3412,0.363,13.4925
2022 THD,KSTdGD80.13,WIL,0.2937,-0.295,0.8366,-0.0454,0.6675,0.265,2.9934,0.963,3.3421,NA,NA,NA,NA,-0.295,6.867,-1.14,16.511,0.258,13.6467
2022 THD,KSTdGD80.130,WIL,1.289,1.198,0.8366,-0.0454,0.1032,0.567,2.5104,0.103,3.0284,NA,NA,NA,NA,1.198,5.7381,-0.298,13.9372,0.537,10.3139
2022 THD,KSTdGD80.131,WIL,-0.2584,-0.09,0.8366,-0.0454,-0.1909,-1.526,2.9724,-0.96,3.4128,NA,NA,NA,NA,-0.09,6.8502,-1.362,16.6011,-0.386,13.8109
2022 THD,KSTdGD80.132,WIL,-0.2212,-0.533,0.8366,-0.0454,0.3535,-0.291,3.0358,-0.549,3.4158,NA,NA,NA,NA,-0.533,6.9678,0.434,16.9267,-0.248,13.9796
2022 THD,KSTdGD80.133,WIL,0.5444,-0.213,0.8366,-0.0454,0.8588,-1.283,2.9619,1.023,3.3559,NA,NA,NA,NA,-0.213,6.9138,0.953,16.6312,0.293,13.781
2022 THD,KSTdGD80.134,WIL,1.3048,0.667,0.8366,-0.0454,0.7231,0.489,2.977,-0.17,3.3331,NA,NA,NA,NA,0.667,6.8923,-1.021,16.2984,0.928,13.3761
2022 THD,KSTdGD80.135,WIL,0.9875,0.665,0.8366,-0.0454,0.3657,0.945,2.9962,0.318,3.3475,NA,NA,NA,NA,0.665,6.9028,-1.461,16.7194,-0.333,13.8219
2022 THD,KSTdGD80.137,WIL,0.6978,0.33,0.8366,-0.0454,0.417,0.519,2.939,1.637,3.4009,NA,NA,NA,NA,0.33,6.8589,-0.929,16.4591,0.165,13.6414
2022 THD,KSTdGD80.138,WIL,1.1887,0.464,0.8366,-0.0454,0.8217,-0.336,3.0017,-0.377,3.4512,NA,NA,NA,NA,0.464,6.957,0.3,16.616,-0.288,13.8233
2022 THD,KSTdGD80.141,WIL,-0.8097,-2.613,0.8366,-0.0454,2.0446,-0.842,2.6027,-1.54,3.149,NA,NA,NA,NA,-2.613,6.0741,0.803,14.302,-1.204,11.2387
2022 THD,KSTdGD80.142,WIL,0.1536,-0.907,0.8366,-0.0454,1.2025,0.425,2.976,0.351,3.3482,NA,NA,NA,NA,-0.907,6.8735,-0.379,16.6523,-1.905,13.612
2022 THD,KSTdGD80.143,WIL,-0.9001,-1.464,0.8366,-0.0454,0.6394,0.485,2.9674,1.058,3.3831,NA,NA,NA,NA,-1.464,6.7901,1.113,16.4045,-0.018,13.6011
2022 THD,KSTdGD80.144,WIL,0.0871,-0.199,0.8366,-0.0454,0.3244,-0.528,2.9565,0.188,3.3974,NA,NA,NA,NA,-0.199,6.8737,0.149,16.5077,-1.02,13.6648
2022 THD,KSTdGD80.147,WIL,-0.3445,-0.114,0.8366,-0.0454,-0.2613,0.299,2.9607,-0.114,3.4577,NA,NA,NA,NA,-0.114,6.8418,0.858,16.4946,-0.014,13.6649
2022 THD,KSTdGD80.148,WIL,0.3322,0.612,0.8366,-0.0454,-0.3172,0.611,2.9776,-0.119,3.3857,NA,NA,NA,NA,0.612,6.852,-0.756,16.5476,0.365,13.7346
2022 THD,KSTdGD80.149,WIL,-1.4528,-0.147,0.8366,-0.0454,-1.4805,0.115,2.941,0.005,3.2814,NA,NA,NA,NA,-0.147,6.7741,1.255,16.4319,1.089,13.3832
2022 THD,KSTdGD80.15,WIL,1.199,-0.047,0.8366,-0.0454,1.4127,1.15,2.9708,-0.253,3.3091,NA,NA,NA,NA,-0.047,6.8241,0.535,16.3561,-0.217,13.4641
