Taxa	SD_unadj	SD_adj	SD_rn	PH_unadj	PH_adj	PH_rn	NDVI_unadj	NDVI_adj	NDVI_rn	GR_unadj	GR_adj	GR_rn	GY_unadj	GY_adj	GY_rn	TKW_unadj	TKW_adj	TKW_rn	TW_unadj	TW_adj	TW_rn
KSTdGD80.295	0.601428225	0.318110973	0.394528646	-0.557396314	-0.820566022	-0.562392187	-0.161418471	-0.222017124	-0.005713456	0.576629553	0.771504744	0.095250275	-0.404216013	-1.267850267	-1.433262872	-0.540058592	-1.142946768	-1.490983387	1.115311384	-0.260894544	0.721537748
KSTdGD80.296	0.212820095	-0.058466487	0.046187783	-0.531755243	-0.797070658	-0.655869086	0.019217613	-0.030871244	0.179472845	-0.484353073	-0.288143242	-0.791547639	0.212028829	-0.342634378	-0.504407605	-0.133589798	-0.742879028	-1.138214147	0.948098792	-0.353017072	0.473712127
KSTdGD80.297	-0.242512577	-0.533906477	-0.375303479	0.338204705	0.052246052	0.206260955	-0.057062877	-0.107971534	0.091059445	-0.314681359	-0.108107159	-0.567269703	-0.523839432	-1.211396262	-1.379945189	2.071273924	1.480697917	1.131341035	-0.216263682	-1.467181723	-0.46620686
KSTdGD80.3	0.037168806	-0.23476535	-0.12394108	-1.122798453	-1.388136906	-1.280020571	-0.214410315	-0.240607976	-0.095936962	-0.524708303	-0.415558255	-0.72595443	-0.782531768	-0.888368871	-1.070516961	0.157519931	-0.390753883	-0.804349513	0.590808986	-0.517904279	0.136311491
KSTdGD80.30	-0.704639313	-0.9545189	-0.820448488	-1.301620109	-1.572568267	-1.404257077	-0.159248753	-0.186273128	-0.021507861	-0.02857375	0.060405538	-0.116001943	-0.855503203	-1.543182206	-1.805905821	1.688192736	1.137606677	0.841098483	0.258447013	-1.08475599	-0.267262596
KSTdGD80.300	0.373382638	0.058098813	0.435823385	-0.348316861	-0.637632733	-0.657741755	0.212012554	0.175693347	0.275997111	-0.719704323	-0.538502013	-1.279727534	-0.997750468	-1.005725921	-1.3844296	0.954934103	0.321951502	-0.317634168	0.486198117	-0.601727273	0.229873429
KSTdGD80.301	0.081829336	-0.198403009	-0.065474714	-0.107288699	-0.36001286	-0.205246173	-0.542636433	-0.593806041	-0.402259035	0.284392518	0.470576473	-0.037166996	-1.254603297	-1.814932734	-1.906517248	2.053381026	1.448480934	1.140717978	0.168479125	-1.09510207	-0.13955173
KSTdGD80.302	-0.47458024	-0.752584475	-0.649282262	-1.412870063	-1.662071996	-1.436440535	-0.126169507	-0.195733367	0.023682539	0.396428501	0.586121238	0.128748701	-0.393302544	-1.131657856	-1.101197774	1.980123254	1.339378951	0.752938673	0.437796513	-0.948950459	-0.035493266
KSTdGD80.303	0.309782058	0.004754505	0.146382389	-0.03291891	-0.301449305	-0.161528751	0.122840829	0.106703825	0.278264603	-0.062347889	0.130637028	-0.371744742	0.384521029	-0.409779452	-0.6001578	0.684612118	0.071210535	-0.416530473	1.32212858	-0.01922666	0.934751669
KSTdGD80.305	0.292319612	-0.015501367	0.083204113	-0.879387129	-1.159101478	-0.428829049	-0.151035177	-0.174678841	-0.163211355	-0.705106288	-0.51084335	-1.19245173	-1.324403274	-1.203803909	-1.73543964	1.513803978	0.919850819	0.763876717	-0.194484041	-1.138526292	-0.034657752
KSTdGD80.306	-0.791726732	-1.139605301	-0.952754923	-0.333431562	-0.66557955	-0.344206398	0.200791709	0.15132189	0.361996701	-0.100810929	0.08610084	-0.405311818	-0.509262127	-0.636609684	-1.062433285	0.935905568	0.346334699	-0.054656985	-0.848374555	-1.959110755	-1.410620042
KSTdGD80.307	0.270815778	-0.047115722	0.158926796	-0.377638514	-0.658302346	-0.515489583	0.238344696	0.188871719	0.335871425	-0.396826703	-0.219264102	-0.85767535	-1.757203616	-1.5583042	-1.469177995	0.753610533	0.25666571	0.023488221	-0.125603745	-0.950291851	-0.304916691
KSTdGD80.308	0.894815321	0.601582185	0.749286691	0.100802046	-0.168254856	0.045353658	0.120488199	0.083654166	0.284599681	0.296103036	0.469955538	-0.000176529	0.473064763	-0.0146486	-0.182670399	0.530386307	-0.043831647	-0.484803239	1.200336761	0.033215924	0.889096575
KSTdGD80.31	-0.049391519	-0.348386355	-0.193396349	-0.426564813	-0.720976482	-0.340958355	0.059668675	0.048947469	0.206563421	-0.119046261	0.003685529	-0.317672943	-0.273433098	0.016314864	-0.019693304	0.853306208	0.312844813	-0.098615519	0.65429315	-0.295167007	0.331703962
KSTdGD80.310	0.549998656	0.22643449	0.374691792	0.183047381	-0.105448183	0.021637441	0.304221648	0.240407881	0.474152097	-0.150951954	0.040068258	-0.473872168	0.588417451	-0.028789211	-0.33987642	0.066116541	-0.556895286	-0.967773908	1.152157668	-0.153896025	0.770592451
KSTdGD80.311	0.765957338	0.483162618	0.72856679	0.836728305	0.556555532	0.817079006	0.413746813	0.36003129	0.547490405	-0.067826306	0.106838399	-0.397056128	-0.434321157	-1.331938716	-1.577868468	1.332613638	0.736787143	0.183066688	0.384903699	-0.937433895	0.117514629
KSTdGD80.313	0.033093997	-0.265444252	-0.187355742	0.419534792	0.162919808	0.347848555	-0.0464796	-0.058475156	0.096003923	-0.742664737	-0.592313443	-1.008928371	-0.399340992	-0.617127453	-0.802422416	1.96772196	1.409243816	0.994305024	-0.014851858	-1.062432716	-0.553400917
KSTdGD80.316	-0.946321321	-1.241813879	-1.049659158	-0.479656288	-0.75636813	-0.499430928	-0.365609744	-0.381620391	-0.164474448	-0.106772774	0.072973509	-0.05295849	-1.124691354	-1.080305952	-1.205814195	2.604320998	2.100747457	1.752329963	0.580585195	-0.404179998	0.130714482
